danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,genre_num,Track Name,Track Artist,genre_num_combo
0.646,0.597,1,-6.045,1,0.401,0.11,0,0.0958,0.6,88.506,audio_features,70pwY1UfPmSVE3ybPjFy0p,spotify:track:70pwY1UfPmSVE3ybPjFy0p,https://api.spotify.com/v1/tracks/70pwY1UfPmSVE3ybPjFy0p,https://api.spotify.com/v1/audio-analysis/70pwY1UfPmSVE3ybPjFy0p,184893,4,Hip Hop,0,Worst Day,Future,0
0.752,0.617,7,-5.68,1,0.0544,0.0319,0,0.261,0.137,144.006,audio_features,5KcZNsrl7PMIxJ2xBbTwH3,spotify:track:5KcZNsrl7PMIxJ2xBbTwH3,https://api.spotify.com/v1/tracks/5KcZNsrl7PMIxJ2xBbTwH3,https://api.spotify.com/v1/audio-analysis/5KcZNsrl7PMIxJ2xBbTwH3,188967,4,Hip Hop,0,Serial Killers,Gucci Mane,0
0.855,0.651,0,-8.044,0,0.235,0.063,0,0.0772,0.559,111.997,audio_features,5Z8HZM6iQMhhqyPcCGY5g9,spotify:track:5Z8HZM6iQMhhqyPcCGY5g9,https://api.spotify.com/v1/tracks/5Z8HZM6iQMhhqyPcCGY5g9,https://api.spotify.com/v1/audio-analysis/5Z8HZM6iQMhhqyPcCGY5g9,193027,4,Hip Hop,0,Hot (feat. Gunna),Young Thug,0
0.785,0.62,8,-6.667,1,0.254,0.0138,0,0.15,0.478,78.477,audio_features,59J5nzL1KniFHnU120dQzt,spotify:track:59J5nzL1KniFHnU120dQzt,https://api.spotify.com/v1/tracks/59J5nzL1KniFHnU120dQzt,https://api.spotify.com/v1/audio-analysis/59J5nzL1KniFHnU120dQzt,235535,4,Hip Hop,0,wokeuplikethis*,Playboi Carti,0
0.688,0.658,1,-4.155,1,0.0695,0.105,1.89E-06,0.335,0.28,75.615,audio_features,7pas6O1LYbaeChEFQBhPFU,spotify:track:7pas6O1LYbaeChEFQBhPFU,https://api.spotify.com/v1/tracks/7pas6O1LYbaeChEFQBhPFU,https://api.spotify.com/v1/audio-analysis/7pas6O1LYbaeChEFQBhPFU,226397,4,Hip Hop,0,coordinate,Travis Scott,0
0.48,0.61,0,-7.042,1,0.305,0.0456,0,0.313,0.297,90.034,audio_features,4bEcoz1OcfMgUbp2ft8ieQ,spotify:track:4bEcoz1OcfMgUbp2ft8ieQ,https://api.spotify.com/v1/tracks/4bEcoz1OcfMgUbp2ft8ieQ,https://api.spotify.com/v1/audio-analysis/4bEcoz1OcfMgUbp2ft8ieQ,255653,4,Hip Hop,0,911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),"Tyler, The Creator",0
0.768,0.652,1,-2.708,0,0.307,0.113,0,0.107,0.777,154.187,audio_features,0fySG6A6qLE8IvDpayb5bM,spotify:track:0fySG6A6qLE8IvDpayb5bM,https://api.spotify.com/v1/tracks/0fySG6A6qLE8IvDpayb5bM,https://api.spotify.com/v1/audio-analysis/0fySG6A6qLE8IvDpayb5bM,144935,4,Hip Hop,0,VIBEZ,DaBaby,0
0.873,0.64,2,-4.844,1,0.262,0.0128,0,0.134,0.543,149.068,audio_features,1JixF2WqbP3LyiroGiRyog,spotify:track:1JixF2WqbP3LyiroGiRyog,https://api.spotify.com/v1/tracks/1JixF2WqbP3LyiroGiRyog,https://api.spotify.com/v1/audio-analysis/1JixF2WqbP3LyiroGiRyog,158000,4,Hip Hop,0,Pain Killers,Key Glock,0
0.688,0.842,2,-4.211,1,0.264,0.0499,0,0.241,0.416,159.897,audio_features,0P2P1AxcRYhiZvoF5MyRmM,spotify:track:0P2P1AxcRYhiZvoF5MyRmM,https://api.spotify.com/v1/tracks/0P2P1AxcRYhiZvoF5MyRmM,https://api.spotify.com/v1/audio-analysis/0P2P1AxcRYhiZvoF5MyRmM,185856,4,Hip Hop,0,Rumors (feat. Lil Durk),Gucci Mane,0
0.66,0.491,8,-6.645,0,0.101,0.0338,0,0.101,0.376,154.132,audio_features,5qbcsZMwL0x46sX7VO37Ye,spotify:track:5qbcsZMwL0x46sX7VO37Ye,https://api.spotify.com/v1/tracks/5qbcsZMwL0x46sX7VO37Ye,https://api.spotify.com/v1/audio-analysis/5qbcsZMwL0x46sX7VO37Ye,199520,4,Hip Hop,0,Up,NAV,0
0.883,0.606,1,-4.421,1,0.238,0.267,0,0.0952,0.495,119.954,audio_features,6psP05MMEYxyJ54qdGEnOU,spotify:track:6psP05MMEYxyJ54qdGEnOU,https://api.spotify.com/v1/tracks/6psP05MMEYxyJ54qdGEnOU,https://api.spotify.com/v1/audio-analysis/6psP05MMEYxyJ54qdGEnOU,160949,4,Hip Hop,0,Crypto (feat. Rich The Kid),Takeoff,0
0.847,0.584,0,-5.146,1,0.289,0.092,0,0.153,0.495,169.983,audio_features,3WKralGDklxTjxcMkGKx2g,spotify:track:3WKralGDklxTjxcMkGKx2g,https://api.spotify.com/v1/tracks/3WKralGDklxTjxcMkGKx2g,https://api.spotify.com/v1/audio-analysis/3WKralGDklxTjxcMkGKx2g,169412,4,Hip Hop,0,Toot It Up (with Flo Milli),Sally Sossa,0
0.874,0.404,1,-13.101,1,0.047,0.0513,2.28E-05,0.11,0.447,101.983,audio_features,3nePMGxrBMKtffHpkKqSHA,spotify:track:3nePMGxrBMKtffHpkKqSHA,https://api.spotify.com/v1/tracks/3nePMGxrBMKtffHpkKqSHA,https://api.spotify.com/v1/audio-analysis/3nePMGxrBMKtffHpkKqSHA,181812,4,Hip Hop,0,Eat It Up (feat. BIA),Kali,0
0.925,0.443,1,-8.216,1,0.264,0.0172,0,0.276,0.35,136.078,audio_features,2bjwRfXMk4uRgOD9IBYl9h,spotify:track:2bjwRfXMk4uRgOD9IBYl9h,https://api.spotify.com/v1/tracks/2bjwRfXMk4uRgOD9IBYl9h,https://api.spotify.com/v1/audio-analysis/2bjwRfXMk4uRgOD9IBYl9h,236615,4,Hip Hop,0,Portland,Drake,0
0.801,0.521,4,-9.871,0,0.28,0.0136,0,0.179,0.412,108.025,audio_features,5BviN9XWqCYE88AOJg6nEK,spotify:track:5BviN9XWqCYE88AOJg6nEK,https://api.spotify.com/v1/tracks/5BviN9XWqCYE88AOJg6nEK,https://api.spotify.com/v1/audio-analysis/5BviN9XWqCYE88AOJg6nEK,334360,4,Hip Hop,0,100,The Game,0
0.625,0.542,9,-4.365,1,0.266,0.0223,0,0.377,0.328,152.403,audio_features,5QNW6Vx14N4OfJ7D0eDg0d,spotify:track:5QNW6Vx14N4OfJ7D0eDg0d,https://api.spotify.com/v1/tracks/5QNW6Vx14N4OfJ7D0eDg0d,https://api.spotify.com/v1/audio-analysis/5QNW6Vx14N4OfJ7D0eDg0d,209315,4,Hip Hop,0,Neck & Wrist (feat. JAY-Z & Pharrell),Pusha T,0
