danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,tempo,duration_ms,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,time_sig_3,time_sig_4,time_sig_5,genre_num
0.597,0.518,-12.856,0.0,0.0323,0.677,0.821,106.106,391918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0
0.63,0.841,-11.32,1.0,0.053,0.0383,0.0506,126.972,369503.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
0.475,0.704,-7.794,1.0,0.0275,0.00274,0.0,76.846,236649.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
0.583,0.789,-5.998,1.0,0.028,0.00314,0.0,126.993,179288.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
0.821,0.926,-4.905,0.0,0.0482,0.0034,5.6e-05,127.993,189760.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
0.544,0.89,-7.465,0.0,0.0445,0.0217,0.245,149.894,263400.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
0.485,0.669,-4.95,1.0,0.0336,0.0802,7.74e-05,134.008,250480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0
0.717,0.598,-9.033,1.0,0.0467,0.39,0.0,126.089,226719.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
0.274,0.199,-19.136,1.0,0.0372,0.944,0.799,132.793,107832.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0
0.727,0.507,-8.545,1.0,0.234,0.111,0.0,144.088,201183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0
0.656,0.534,-5.019,0.0,0.0398,0.0164,0.000101,87.01,222096.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.738,0.553,-8.056,1.0,0.0351,0.654,0.00195,124.882,319707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0
0.547,0.835,-7.033,1.0,0.0372,0.0731,0.589,177.143,246800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
